ID,Population,Colour,BodyRegion,Background,Background2,dS,dL
m82d,Hawaii,courtship,botflank,Leaf_T1,own,5.804416528,38.3922555
m82d,Hawaii,courtship,botflank,Leaf_T2,own,3.106768013,36.8696364
m82d,Hawaii,courtship,botflank,Stem1,own,1.734668182,18.4933009
m82d,Hawaii,courtship,botflank,Stem2,own,1.243882543,23.9180595
m89,Hawaii,courtship,botflank,Leaf_B1,own,3.945141474,35.797996
m89,Hawaii,courtship,botflank,Leaf_B2,own,2.949141316,35.8916997
m89,Hawaii,courtship,botflank,Leaf_T1,own,8.646080954,57.7330356
m89,Hawaii,courtship,botflank,Leaf_T2,own,6.06315979,56.2104165
m89,Hawaii,courtship,botflank,Stem1,own,1.955118148,37.834081
m89,Hawaii,courtship,botflank,Stem2,own,2.224259992,43.2588396
m9,Hawaii,courtship,botflank,Leaf_B1,own,2.138268844,25.6693802
m9,Hawaii,courtship,botflank,Leaf_B2,own,3.65972353,25.7630839
m9,Hawaii,courtship,botflank,Leaf_T1,own,4.363707836,47.6044199
m9,Hawaii,courtship,botflank,Leaf_T2,own,3.503212158,46.0818008
m9,Hawaii,courtship,botflank,Stem1,own,3.965865401,27.7054652
m9,Hawaii,courtship,botflank,Stem2,own,3.254819576,33.1302239
m90,Hawaii,courtship,botflank,Leaf_B1,own,2.376292125,37.4215154
m90,Hawaii,courtship,botflank,Leaf_B2,own,1.272134469,37.5152191
m90,Hawaii,courtship,botflank,Leaf_T1,own,7.010115087,59.356555
m90,Hawaii,courtship,botflank,Leaf_T2,own,4.30810196,57.8339359
m90,Hawaii,courtship,botflank,Stem1,own,0.571104644,39.4576004
m90,Hawaii,courtship,botflank,Stem2,own,0.84930586,44.882359
m90,Hawaii,courtship,botflank,Leaf_B1,own,2.376292125,37.4215154
m90,Hawaii,courtship,botflank,Leaf_B2,own,1.272134469,37.5152191
m90,Hawaii,courtship,botflank,Leaf_T1,own,7.010115087,59.356555
m90,Hawaii,courtship,botflank,Leaf_T2,own,4.30810196,57.8339359
m90,Hawaii,courtship,botflank,Stem1,own,0.571104644,39.4576004
m90,Hawaii,courtship,botflank,Stem2,own,0.84930586,44.882359
m95d,Hawaii,courtship,botflank,Leaf_B1,own,0.74702005,23.8734432
m95d,Hawaii,courtship,botflank,Leaf_B2,own,2.089269706,23.9671469
m95d,Hawaii,courtship,botflank,Leaf_T1,own,4.888149168,45.8084828
m95d,Hawaii,courtship,botflank,Leaf_T2,own,2.876173865,44.2858637
m95d,Hawaii,courtship,botflank,Stem1,own,2.640244531,25.9095282
m95d,Hawaii,courtship,botflank,Stem2,own,1.851792629,31.3342868
m99,Hawaii,courtship,botflank,Leaf_B1,own,2.47151168,24.427914
