ID,Population,BodyRegion,Colour1,Colour2,dS,dL
m17b,Kenya,midflank,display,subord,4.414501583,20.9845031
m18c,Kenya,midflank,display,subord,4.973611196,20.3917443
m19c,Kenya,midflank,display,subord,12.68147453,52.8880514
m201,Kenya,midflank,display,subord,6.652683601,25.3082113
m211,Kenya,midflank,display,subord,9.143870589,40.4160229
m22a,Kenya,midflank,display,subord,2.961181219,23.9295235
m23,Kenya,midflank,display,subord,9.378855223,43.3158362
m28a,Kenya,midflank,display,subord,7.213192529,29.3985808
m32a,Kenya,midflank,display,subord,7.71894768,31.7772211
m48,Kenya,midflank,display,subord,4.683762014,28.7390848
m52,Kenya,midflank,display,subord,7.274477973,35.0487431
m52,Kenya,midflank,display,subord,10.20322681,42.6886338
m52a,Kenya,midflank,display,subord,6.489928954,27.7412768
m55c,Kenya,midflank,display,subord,6.517768833,30.2159379
m56c,Kenya,midflank,display,subord,12.33568108,41.1117732
m63a,Kenya,midflank,display,subord,9.59823957,26.5723847
m63b,Kenya,midflank,display,subord,7.682467208,36.353156
m64,Kenya,midflank,display,subord,10.61562126,34.5754994
m64b,Kenya,midflank,display,subord,12.06618775,38.1081054
m72,Kenya,midflank,display,subord,8.368862579,46.9896001
m74a,Kenya,midflank,display,subord,6.313447559,35.4448366
m74b,Kenya,midflank,display,subord,10.07357862,33.9274927
m7a,Kenya,midflank,display,subord,7.431924853,37.1476565
m7c,Kenya,midflank,display,subord,10.69079592,41.703928
m8,Kenya,midflank,display,subord,7.683905652,30.3619627
m8a,Kenya,midflank,display,subord,14.8171043,39.7901841
m8c,Kenya,midflank,display,subord,6.816441723,24.7306492
m101,Hawaii,tailbase,display,subord,3.165640337,22.9211952
m101b,Hawaii,tailbase,display,subord,2.091243576,21.3613723
m103,Hawaii,tailbase,display,subord,4.529891001,8.7586361
m104c,Hawaii,tailbase,display,subord,4.222582374,45.0750461
m2bh,Hawaii,tailbase,display,subord,3.86908683,20.5467604
m2c,Hawaii,tailbase,display,subord,1.040867975,12.9033544
m40c,Hawaii,tailbase,display,subord,2.412371932,4.4083889
m40d,Hawaii,tailbase,display,subord,1.903063575,17.9887613
m44b,Hawaii,tailbase,display,subord,1.877964331,18.6788773
m67b,Hawaii,tailbase,display,subord,0.594961393,10.8375187
m67d,Hawaii,tailbase,display,subord,2.119757755,10.9684997
m69,Hawaii,tailbase,display,subord,1.814651132,25.1360683
m73d,Hawaii,tailbase,display,subord,5.645961385,7.8335798
m78,Hawaii,tailbase,display,subord,0.55705617,10.0133043
m78b,Hawaii,tailbase,display,subord,1.674287911,16.7901945
m79c,Hawaii,tailbase,display,subord,2.513641106,33.517179
m80b,Hawaii,tailbase,display,subord,2.315717836,19.7835363
m81,Hawaii,tailbase,display,subord,3.54715593,20.2426155
m82c,Hawaii,tailbase,display,subord,1.604235108,31.2298709
m83b,Hawaii,tailbase,display,subord,1.360455314,6.3858349
m84b,Hawaii,tailbase,display,subord,1.676663232,4.5928908
m85,Hawaii,tailbase,display,subord,3.393262791,10.324654
m9,Hawaii,tailbase,display,subord,1.627858508,4.1754552
m91,Hawaii,tailbase,display,subord,0.898850194,3.8682337
m91c,Hawaii,tailbase,display,subord,0.877109099,1.3375866
m92d,Hawaii,tailbase,display,subord,2.968138565,7.7890399
m99,Hawaii,tailbase,display,subord,0.829344785,10.9988578
ms4,Hawaii,tailbase,display,subord,1.96544019,18.3898162
ms5,Hawaii,tailbase,display,subord,1.717896294,22.3233243
m108,Kenya,tailbase,display,subord,2.582386659,19.1803309
m11b,Kenya,tailbase,display,subord,4.423257351,33.7161467
m13,Kenya,tailbase,display,subord,3.447007368,22.0890033
m17a,Kenya,tailbase,display,subord,3.19647245,35.8152711
m17b,Kenya,tailbase,display,subord,3.01263234,30.8889857
m18c,Kenya,tailbase,display,subord,4.066247786,21.2439676
m201,Kenya,tailbase,display,subord,4.123525337,22.2851009
m211,Kenya,tailbase,display,subord,3.74440726,31.9443634
m22a,Kenya,tailbase,display,subord,1.459407582,19.7096973
m23,Kenya,tailbase,display,subord,5.038087369,21.7263208
m28a,Kenya,tailbase,display,subord,3.328363799,19.0490852
m48,Kenya,tailbase,display,subord,1.864371748,12.1293753
m52,Kenya,tailbase,display,subord,5.300531382,30.2379517
m52,Kenya,tailbase,display,subord,4.824550729,32.6010098
m52a,Kenya,tailbase,display,subord,4.228788335,19.4792376
m55c,Kenya,tailbase,display,subord,3.9747519,20.3353911
m56c,Kenya,tailbase,display,subord,2.861478186,29.4293178
m63a,Kenya,tailbase,display,subord,4.499745099,33.3034463
m63b,Kenya,tailbase,display,subord,3.242609761,19.1860768
m64,Kenya,tailbase,display,subord,5.960646019,33.6610473
m64b,Kenya,tailbase,display,subord,5.094587773,24.9051017
m72,Kenya,tailbase,display,subord,5.808865673,41.049486
m74a,Kenya,tailbase,display,subord,0.980402681,1.9731382
m74b,Kenya,tailbase,display,subord,2.884203933,37.2498287
m7a,Kenya,tailbase,display,subord,2.58594331,34.5009375
m7c,Kenya,tailbase,display,subord,4.579484729,33.2795513
m8,Kenya,tailbase,display,subord,3.658868707,34.1289477
m8a,Kenya,tailbase,display,subord,5.77245158,15.8730809
m8c,Kenya,tailbase,display,subord,7.519732214,20.8562231
m101b,Hawaii,topflank,display,subord,5.16752577,31.1370129
m103,Hawaii,topflank,display,subord,7.180306332,6.2499691
m104c,Hawaii,topflank,display,subord,7.647412674,44.4340587
m2c,Hawaii,topflank,display,subord,5.629289484,32.2704995
m40c,Hawaii,topflank,display,subord,11.64401513,39.8853454
m40d,Hawaii,topflank,display,subord,2.853508526,4.1640875
m44b,Hawaii,topflank,display,subord,4.312923528,23.1156013
m67b,Hawaii,topflank,display,subord,2.755884385,15.6141794
m67d,Hawaii,topflank,display,subord,0.944991816,13.1633966
m69,Hawaii,topflank,display,subord,4.287235606,20.736101
m73d,Hawaii,topflank,display,subord,8.21120607,18.7612637
m78b,Hawaii,topflank,display,subord,10.41864905,36.5713994
m79c,Hawaii,topflank,display,subord,11.17809216,41.8631406
m80b,Hawaii,topflank,display,subord,5.210400205,33.8892675
