ID,Population,Colour,BodyRegion,Background,Background2,dS,dL
m82c,Hawaii,display,botflank,Leaf_B1,own,3.377047145,25.6171025
m82c,Hawaii,display,botflank,Leaf_B2,own,1.917703175,25.7108062
m82c,Hawaii,display,botflank,Leaf_T1,own,8.055621723,47.5521422
m82c,Hawaii,display,botflank,Leaf_T2,own,5.194400473,46.0295231
m82c,Hawaii,display,botflank,Stem1,own,1.244985799,27.6531875
m82c,Hawaii,display,botflank,Stem2,own,1.713843722,33.0779462
m83b,Hawaii,display,botflank,Leaf_B1,own,1.241466813,23.545292
m83b,Hawaii,display,botflank,Leaf_B2,own,0.845397358,23.6389957
m83b,Hawaii,display,botflank,Leaf_T1,own,5.955727825,45.4803317
m83b,Hawaii,display,botflank,Leaf_T2,own,3.33026471,43.9577126
m83b,Hawaii,display,botflank,Stem1,own,1.736427081,25.581377
m83b,Hawaii,display,botflank,Stem2,own,0.835652868,31.0061357
m84b,Hawaii,display,botflank,Leaf_B1,own,1.607544579,35.3631533
m84b,Hawaii,display,botflank,Leaf_B2,own,1.323748296,35.456857
m84b,Hawaii,display,botflank,Leaf_T1,own,6.316983172,57.2981929
m84b,Hawaii,display,botflank,Leaf_T2,own,3.852170579,55.7755738
m84b,Hawaii,display,botflank,Stem1,own,1.500638798,37.3992383
m84b,Hawaii,display,botflank,Stem2,own,0.57884831,42.8239969
m85,Hawaii,display,botflank,Leaf_B1,own,0.846344775,24.3989827
m85,Hawaii,display,botflank,Leaf_B2,own,2.149179919,24.4926864
m85,Hawaii,display,botflank,Leaf_T1,own,4.767996161,46.3340223
m85,Hawaii,display,botflank,Leaf_T2,own,2.698770586,44.8114032
m85,Hawaii,display,botflank,Stem1,own,3.081239294,26.4350677
m85,Hawaii,display,botflank,Stem2,own,2.137495309,31.8598263
m9,Hawaii,display,botflank,Leaf_B1,own,1.687074388,28.7835192
m9,Hawaii,display,botflank,Leaf_B2,own,3.183290449,28.877223
m9,Hawaii,display,botflank,Leaf_T1,own,4.309493055,50.7185589
m9,Hawaii,display,botflank,Leaf_T2,own,3.073523139,49.1959398
m9,Hawaii,display,botflank,Stem1,own,3.588345782,30.8196043
m9,Hawaii,display,botflank,Stem2,own,2.896179707,36.2443629
m90,Hawaii,display,botflank,Leaf_B1,own,0.912510174,28.5495975
m90,Hawaii,display,botflank,Leaf_B2,own,2.478395198,28.6433012
m90,Hawaii,display,botflank,Leaf_T1,own,3.989428493,50.4846371
m90,Hawaii,display,botflank,Leaf_T2,own,2.013146916,48.962018
m90,Hawaii,display,botflank,Stem1,own,3.425947711,30.5856825
m90,Hawaii,display,botflank,Stem2,own,2.644538321,36.0104411
m90,Hawaii,display,botflank,Leaf_B1,own,0.912510174,28.5495975
m90,Hawaii,display,botflank,Leaf_B2,own,2.478395198,28.6433012
m90,Hawaii,display,botflank,Leaf_T1,own,3.989428493,50.4846371
m90,Hawaii,display,botflank,Leaf_T2,own,2.013146916,48.962018
m90,Hawaii,display,botflank,Stem1,own,3.425947711,30.5856825
m90,Hawaii,display,botflank,Stem2,own,2.644538321,36.0104411
m91,Hawaii,display,botflank,Leaf_B1,own,2.091654534,24.0969681
m91,Hawaii,display,botflank,Leaf_B2,own,3.741620483,24.1906718
m91,Hawaii,display,botflank,Leaf_T1,own,3.083567177,46.0320078
m91,Hawaii,display,botflank,Leaf_T2,own,2.383675979,44.5093887
m91,Hawaii,display,botflank,Stem1,own,4.574211796,26.1330531
m91,Hawaii,display,botflank,Stem2,own,3.781130848,31.5578118
m91c,Hawaii,display,botflank,Leaf_B1,own,0.382739482,35.9636224
m91c,Hawaii,display,botflank,Leaf_B2,own,2.0107492,36.0573261
m91c,Hawaii,display,botflank,Leaf_T1,own,4.563613398,57.898662
m91c,Hawaii,display,botflank,Leaf_T2,own,2.410302822,56.3760429
m91c,Hawaii,display,botflank,Stem1,own,2.891199809,37.9997074
m91c,Hawaii,display,botflank,Stem2,own,2.052539953,43.424466
m92d,Hawaii,display,botflank,Leaf_B1,own,0.566341023,22.4478995
m92d,Hawaii,display,botflank,Leaf_B2,own,1.754690117,22.5416032
m92d,Hawaii,display,botflank,Leaf_T1,own,4.580627459,44.3829391
m92d,Hawaii,display,botflank,Leaf_T2,own,2.059498847,42.86032
m92d,Hawaii,display,botflank,Stem1,own,3.068329127,24.4839845
